"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"DB_Reg_E111TIC01_SP";"2024-01-29 14:12:03";1,55;1;45320591704,3866
"DB_Reg_E111TIC01_PV";"2024-01-29 14:12:03";64,44891;1;45320591704,3866
"DB_Reg_E111TIC11_OP";"2024-01-29 14:12:03";0;1;45320591704,3866
"DB_Reg_E111TIC01_OP";"2024-01-29 14:12:03";10;1;45320591704,3981
"DB_Reg_E111TIC01_SP";"2024-01-29 14:12:08";1,55;1;45320591762,8009
"DB_Reg_E111TIC01_PV";"2024-01-29 14:12:08";64,4457;1;45320591762,8009
"DB_Reg_E111TIC11_OP";"2024-01-29 14:12:08";0;1;45320591762,8009
"DB_Reg_E111TIC01_OP";"2024-01-29 14:12:08";10;1;45320591762,8125
"DB_Reg_E111TIC01_SP";"2024-01-29 14:12:13";1,55;1;45320591821,4699
"DB_Reg_E111TIC01_PV";"2024-01-29 14:12:13";64,43824;1;45320591821,4699
"DB_Reg_E111TIC11_OP";"2024-01-29 14:12:13";0;1;45320591821,4815
"DB_Reg_E111TIC01_OP";"2024-01-29 14:12:13";10;1;45320591821,4815
"DB_Reg_E111TIC01_SP";"2024-01-29 14:12:18";1,55;1;45320591880
"DB_Reg_E111TIC01_PV";"2024-01-29 14:12:18";64,435;1;45320591880
"DB_Reg_E111TIC11_OP";"2024-01-29 14:12:18";0;1;45320591880
"DB_Reg_E111TIC01_OP";"2024-01-29 14:12:18";10;1;45320591880,0116
"DB_Reg_E111TIC01_SP";"2024-01-29 14:12:23";1,55;1;45320591938,6343
"DB_Reg_E111TIC01_PV";"2024-01-29 14:12:23";64,42796;1;45320591938,6343
"DB_Reg_E111TIC11_OP";"2024-01-29 14:12:23";0;1;45320591938,6458
"DB_Reg_E111TIC01_OP";"2024-01-29 14:12:23";10;1;45320591938,6458
"DB_Reg_E111TIC01_SP";"2024-01-29 14:12:29";1,55;1;45320591997,3032
"DB_Reg_E111TIC01_PV";"2024-01-29 14:12:29";64,42819;1;45320591997,3032
"DB_Reg_E111TIC11_OP";"2024-01-29 14:12:29";0;1;45320591997,3148
"DB_Reg_E111TIC01_OP";"2024-01-29 14:12:29";10;1;45320591997,3148
"DB_Reg_E111TIC01_SP";"2024-01-29 14:12:34";1,55;1;45320592056,6551
"DB_Reg_E111TIC01_PV";"2024-01-29 14:12:34";64,42119;1;45320592056,6551
"DB_Reg_E111TIC11_OP";"2024-01-29 14:12:34";0;1;45320592056,6667
"DB_Reg_E111TIC01_OP";"2024-01-29 14:12:34";10;1;45320592056,6667
"DB_Reg_E111TIC01_SP";"2024-01-29 14:12:39";1,55;1;45320592115,1968
"DB_Reg_E111TIC01_PV";"2024-01-29 14:12:39";64,41965;1;45320592115,1968
"DB_Reg_E111TIC11_OP";"2024-01-29 14:12:39";0;1;45320592115,2083
"DB_Reg_E111TIC01_OP";"2024-01-29 14:12:39";10;1;45320592115,2083
"DB_Reg_E111TIC01_SP";"2024-01-29 14:12:44";1,55;1;45320592173,7384
"DB_Reg_E111TIC01_PV";"2024-01-29 14:12:44";64,41662;1;45320592173,7384
"DB_Reg_E111TIC11_OP";"2024-01-29 14:12:44";0;1;45320592173,75
"DB_Reg_E111TIC01_OP";"2024-01-29 14:12:44";10;1;45320592173,75
"DB_Reg_E111TIC01_SP";"2024-01-29 14:12:49";1,55;1;45320592232,2801
"DB_Reg_E111TIC01_PV";"2024-01-29 14:12:49";64,41708;1;45320592232,2801
"DB_Reg_E111TIC11_OP";"2024-01-29 14:12:49";0;1;45320592232,2917
"DB_Reg_E111TIC01_OP";"2024-01-29 14:12:49";10;1;45320592232,2917
"DB_Reg_E111TIC01_SP";"2024-01-29 14:12:54";1,55;1;45320592290,8102
"DB_Reg_E111TIC01_PV";"2024-01-29 14:12:54";64,40823;1;45320592290,8102
"DB_Reg_E111TIC11_OP";"2024-01-29 14:12:54";0;1;45320592290,8102
"DB_Reg_E111TIC01_OP";"2024-01-29 14:12:54";10;1;45320592290,8218
"DB_Reg_E111TIC01_SP";"2024-01-29 14:12:59";1,55;1;45320592349,3403
"DB_Reg_E111TIC01_PV";"2024-01-29 14:12:59";64,39403;1;45320592349,3403
"DB_Reg_E111TIC11_OP";"2024-01-29 14:12:59";0;1;45320592349,3519
"DB_Reg_E111TIC01_OP";"2024-01-29 14:12:59";10;1;45320592349,3519
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:04";1,55;1;45320592408,0556
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:04";64,38984;1;45320592408,0556
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:04";0;1;45320592408,0556
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:04";10;1;45320592408,0671
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:09";1,55;1;45320592466,5856
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:09";64,38485;1;45320592466,5856
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:09";0;1;45320592466,5856
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:09";10;1;45320592466,5972
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:14";1,55;1;45320592525,1273
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:14";64,37727;1;45320592525,1273
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:14";0;1;45320592525,1389
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:14";10;1;45320592525,1389
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:19";1,55;1;45320592583,6574
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:19";64,37485;1;45320592583,6574
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:19";0;1;45320592583,669
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:19";10;1;45320592583,669
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:24";1,55;1;45320592642,1875
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:24";64,37087;1;45320592642,1875
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:24";0;1;45320592642,1991
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:24";10;1;45320592642,1991
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:29";1,55;1;45320592701,2963
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:29";64,36349;1;45320592701,2963
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:29";0;1;45320592701,3079
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:29";10;1;45320592701,3079
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:34";1,55;1;45320592759,838
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:34";64,36153;1;45320592759,838
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:34";0;1;45320592759,8495
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:34";10;1;45320592759,8495
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:40";1,55;1;45320592818,3681
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:40";64,36053;1;45320592818,3681
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:40";0;1;45320592818,3796
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:40";10;1;45320592818,3796
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:45";1,55;1;45320592876,8981
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:45";64,35889;1;45320592876,8981
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:45";0;1;45320592876,9097
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:45";10;1;45320592876,9097
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:50";1,55;1;45320592935,4282
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:50";64,3533;1;45320592935,4282
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:50";0;1;45320592935,4398
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:50";10;1;45320592935,4398
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:55";1,55;1;45320592993,9583
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:55";64,35624;1;45320592993,9583
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:55";0;1;45320592993,9583
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:55";10;1;45320592993,9699
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:00";1,55;1;45320593053,507
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:00";64,35052;1;45320593053,507
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:00";0;1;45320593053,5185
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:00";10;1;45320593053,5185
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:05";1,55;1;45320593112,037
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:05";64,34731;1;45320593112,037
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:05";0;1;45320593112,0486
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:05";10;1;45320593112,0486
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:10";1,55;1;45320593170,5671
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:10";64,3484;1;45320593170,5671
