"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"DB_Reg_E111TIC11_PV";"2024-01-29 14:12:03";11,55575;1;45320591704,3981
"DB_Reg_E111TIC11_SP";"2024-01-29 14:12:03";65,40533;1;45320591704,3981
"DB_Reg_E111TIC12_OP";"2024-01-29 14:12:03";77,22549;1;45320591704,4097
"DB_Reg_E111TIC12_PV";"2024-01-29 14:12:03";64,99664;1;45320591704,4097
"DB_Reg_E111TIC11_PV";"2024-01-29 14:12:08";11,59852;1;45320591762,8125
"DB_Reg_E111TIC11_SP";"2024-01-29 14:12:08";65,40797;1;45320591762,8241
"DB_Reg_E111TIC12_OP";"2024-01-29 14:12:08";77,04071;1;45320591762,8241
"DB_Reg_E111TIC12_PV";"2024-01-29 14:12:08";65,33752;1;45320591762,8241
"DB_Reg_E111TIC11_PV";"2024-01-29 14:12:13";11,49483;1;45320591821,4815
"DB_Reg_E111TIC11_SP";"2024-01-29 14:12:13";65,41053;1;45320591821,4815
"DB_Reg_E111TIC12_OP";"2024-01-29 14:12:13";76,63267;1;45320591821,4931
"DB_Reg_E111TIC12_PV";"2024-01-29 14:12:13";65,68642;1;45320591821,4931
"DB_Reg_E111TIC11_PV";"2024-01-29 14:12:18";11,32355;1;45320591880,0116
"DB_Reg_E111TIC11_SP";"2024-01-29 14:12:18";65,408;1;45320591880,0116
"DB_Reg_E111TIC12_OP";"2024-01-29 14:12:18";75,04044;1;45320591880,0231
"DB_Reg_E111TIC12_PV";"2024-01-29 14:12:18";66,79623;1;45320591880,0231
"DB_Reg_E111TIC11_PV";"2024-01-29 14:12:23";11,20929;1;45320591938,6458
"DB_Reg_E111TIC11_SP";"2024-01-29 14:12:23";65,41109;1;45320591938,6458
"DB_Reg_E111TIC12_OP";"2024-01-29 14:12:23";65,94075;1;45320591938,6574
"DB_Reg_E111TIC12_PV";"2024-01-29 14:12:23";72,30416;1;45320591938,6574
"DB_Reg_E111TIC11_PV";"2024-01-29 14:12:29";11,20031;1;45320591997,3148
"DB_Reg_E111TIC11_SP";"2024-01-29 14:12:29";65,40947;1;45320591997,3264
"DB_Reg_E111TIC12_OP";"2024-01-29 14:12:29";69,14842;1;45320591997,3264
"DB_Reg_E111TIC12_PV";"2024-01-29 14:12:29";66,71186;1;45320591997,3264
"DB_Reg_E111TIC11_PV";"2024-01-29 14:12:34";11,27713;1;45320592056,6667
"DB_Reg_E111TIC11_SP";"2024-01-29 14:12:34";65,41294;1;45320592056,6782
"DB_Reg_E111TIC12_OP";"2024-01-29 14:12:34";71,27291;1;45320592056,6782
"DB_Reg_E111TIC12_PV";"2024-01-29 14:12:34";64,72898;1;45320592056,6782
"DB_Reg_E111TIC11_PV";"2024-01-29 14:12:39";11,29925;1;45320592115,2083
"DB_Reg_E111TIC11_SP";"2024-01-29 14:12:39";65,41467;1;45320592115,2083
"DB_Reg_E111TIC12_OP";"2024-01-29 14:12:39";69,60706;1;45320592115,2199
"DB_Reg_E111TIC12_PV";"2024-01-29 14:12:39";66,37529;1;45320592115,2199
"DB_Reg_E111TIC11_PV";"2024-01-29 14:12:44";11,39253;1;45320592173,75
"DB_Reg_E111TIC11_SP";"2024-01-29 14:12:44";65,41879;1;45320592173,7616
"DB_Reg_E111TIC12_OP";"2024-01-29 14:12:44";62,08625;1;45320592173,7616
"DB_Reg_E111TIC12_PV";"2024-01-29 14:12:44";71,25233;1;45320592173,7616
"DB_Reg_E111TIC11_PV";"2024-01-29 14:12:49";11,39976;1;45320592232,2917
"DB_Reg_E111TIC11_SP";"2024-01-29 14:12:49";65,42369;1;45320592232,2917
"DB_Reg_E111TIC12_OP";"2024-01-29 14:12:49";54,6972;1;45320592232,3032
"DB_Reg_E111TIC12_PV";"2024-01-29 14:12:49";73,39566;1;45320592232,3032
"DB_Reg_E111TIC11_PV";"2024-01-29 14:12:54";11,4;1;45320592290,8218
"DB_Reg_E111TIC11_SP";"2024-01-29 14:12:54";65,42498;1;45320592290,8218
"DB_Reg_E111TIC12_OP";"2024-01-29 14:12:54";48,9904;1;45320592290,8333
"DB_Reg_E111TIC12_PV";"2024-01-29 14:12:54";73,66777;1;45320592290,8333
"DB_Reg_E111TIC11_PV";"2024-01-29 14:12:59";11,48207;1;45320592349,3519
"DB_Reg_E111TIC11_SP";"2024-01-29 14:12:59";65,42356;1;45320592349,3519
"DB_Reg_E111TIC12_OP";"2024-01-29 14:12:59";41,50211;1;45320592349,3634
"DB_Reg_E111TIC12_PV";"2024-01-29 14:12:59";74,96791;1;45320592349,3634
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:04";11,52715;1;45320592408,0671
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:04";65,41655;1;45320592408,0787
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:04";35,23421;1;45320592408,0787
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:04";74,74481;1;45320592408,0787
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:09";11,59758;1;45320592466,5972
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:09";65,41615;1;45320592466,5972
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:09";30,15471;1;45320592466,5972
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:09";73,88775;1;45320592466,6088
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:14";11,59996;1;45320592525,1389
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:14";65,4259;1;45320592525,1505
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:14";26,13462;1;45320592525,1505
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:14";71,88885;1;45320592525,1505
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:19";11,6;1;45320592583,669
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:19";65,42739;1;45320592583,6806
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:19";23,91051;1;45320592583,6806
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:19";70,48174;1;45320592583,6806
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:24";11,69029;1;45320592642,1991
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:24";65,4301;1;45320592642,1991
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:24";20,92943;1;45320592642,1991
