Id,Time,DB_Reg_E111TIC11_PV,DB_Reg_E111TIC11_SP,DB_Reg_E111TIC12_OP,DB_Reg_E111TIC12_PV
1,2024-01-29 14:12:03,11.55575,65.40533,77.22549,64.99664
2,2024-01-29 14:12:08,11.59852,65.40797,77.04071,65.33752
3,2024-01-29 14:12:13,11.49483,65.41053,76.63267,65.68642
4,2024-01-29 14:12:18,11.32355,65.408,75.04044,66.79623
5,2024-01-29 14:12:23,11.20929,65.41109,65.94075,72.30416
6,2024-01-29 14:12:29,11.20031,65.40947,69.14842,66.71186
7,2024-01-29 14:12:34,11.27713,65.41294,71.27291,64.72898
8,2024-01-29 14:12:39,11.29925,65.41467,69.60706,66.37529
9,2024-01-29 14:12:44,11.39253,65.41879,62.08625,71.25233
10,2024-01-29 14:12:49,11.39976,65.42369,54.6972,73.39566
11,2024-01-29 14:12:54,11.4,65.42498,48.9904,73.66777
12,2024-01-29 14:12:59,11.48207,65.42356,41.50211,74.96791
13,2024-01-29 14:13:04,11.52715,65.41655,35.23421,74.74481
14,2024-01-29 14:13:09,11.59758,65.41615,30.15471,73.88775
15,2024-01-29 14:13:14,11.59996,65.4259,26.13462,71.88885
16,2024-01-29 14:13:19,11.6,65.42739,23.91051,70.48174
17,2024-01-29 14:13:24,11.69029,65.4301,20.92943,70.14442
18,2024-01-29 14:13:29,11.69968,65.427,19.38141,68.99298
19,2024-01-29 14:13:34,11.69999,65.42944,19.75883,67.03044
20,2024-01-29 14:13:40,11.7,65.42677,19.67301,66.43112
21,2024-01-29 14:13:45,11.7,65.42448,17.68721,67.33616
22,2024-01-29 14:13:50,11.7,65.42474,16.72568,66.99066
23,2024-01-29 14:13:55,11.7,65.42361,20.98278,63.20682
24,2024-01-29 14:14:00,11.7,65.41774,26.34851,60.78795
25,2024-01-29 14:14:05,11.7,65.42097,27.22205,62.26046
26,2024-01-29 14:14:10,11.7,65.4157,28.98674,62.52681
27,2024-01-29 14:14:15,11.60529,65.41106,29.8004,63.20201
28,2024-01-29 14:14:20,11.60018,65.40987,30.0424,64.21997
29,2024-01-29 14:14:25,11.6,65.40446,23.56367,69.28667
30,2024-01-29 14:14:30,11.6,65.4033,18.31969,70.25542
31,2024-01-29 14:14:35,11.6,65.396,17.35139,68.6567
32,2024-01-29 14:14:40,11.6,65.39412,17.88479,66.72774
33,2024-01-29 14:14:45,11.6,65.38663,16.17542,67.34795
34,2024-01-29 14:14:50,11.6,65.38612,14.46807,67.56195
35,2024-01-29 14:14:56,11.6,65.37809,13.96517,66.81784
36,2024-01-29 14:15:01,11.6,65.37271,15.26052,65.27522
37,2024-01-29 14:15:06,11.66966,65.37174,16.27681,64.68114
38,2024-01-29 14:15:11,11.699,65.36781,15.0565,65.87794
39,2024-01-29 14:15:16,11.69997,65.36363,14.09192,66.27557
40,2024-01-29 14:15:21,11.7,65.3556,14.20634,65.72866
41,2024-01-29 14:15:26,11.76637,65.34605,13.12113,66.36827
42,2024-01-29 14:15:31,11.79889,65.34441,11.75715,66.77982
43,2024-01-29 14:15:36,11.79996,65.33629,11.59991,66.19917
44,2024-01-29 14:15:41,11.865,65.32684,12.94385,64.7913
45,2024-01-29 14:15:46,11.89883,65.32712,14.62308,63.94909
46,2024-01-29 14:15:51,11.89996,65.32274,14.35937,64.84026
47,2024-01-29 14:15:56,11.9,65.32362,12.67464,66.19175
48,2024-01-29 14:16:01,11.9,65.32256,11.86543,66.30294
49,2024-01-29 14:16:07,11.9,65.31757,12.30865,65.50205
50,2024-01-29 14:16:12,11.9,65.31335,12.69121,65.21677
51,2024-01-29 14:16:17,11.9,65.31639,11.64783,66.03271
52,2024-01-29 14:16:22,11.9,65.31756,10.29411,66.61009
53,2024-01-29 14:16:27,11.9,65.30983,11.10625,65.35843
54,2024-01-29 14:16:32,11.98982,65.30614,11.43823,65.18143
55,2024-01-29 14:16:37,11.99966,65.31716,11.59611,65.08966
56,2024-01-29 14:16:42,12.0,65.31692,11.91482,65.0023
57,2024-01-29 14:16:47,12.0,65.31512,11.83182,65.19095
58,2024-01-29 14:16:52,12.0,65.31017,11.5883,65.40975
59,2024-01-29 14:16:57,12.0,65.31284,11.98377,65.01404
60,2024-01-29 14:17:02,12.08055,65.30894,12.35072,64.95524
61,2024-01-29 14:17:07,12.09935,65.30914,11.89288,65.44926
62,2024-01-29 14:17:12,12.09998,65.31203,11.22994,65.81536
63,2024-01-29 14:17:17,12.01023,65.30573,11.12214,65.6699
64,2024-01-29 14:17:23,12.00034,65.30754,11.03345,65.53081
65,2024-01-29 14:17:28,12.00002,65.30678,10.73615,65.67603
66,2024-01-29 14:17:33,12.0,65.31139,9.541031,66.31709
67,2024-01-29 14:17:38,11.90667,65.31033,8.975312,66.16576
68,2024-01-29 14:17:43,11.90022,65.30936,10.66806,64.60967
69,2024-01-29 14:17:48,11.9,65.30598,10.50219,65.08972
70,2024-01-29 14:17:53,11.91695,65.30833,10.20961,65.38107
71,2024-01-29 14:17:58,11.99722,65.30653,9.93167,65.54664
72,2024-01-29 14:18:03,11.9999,65.30109,9.391589,65.78411
73,2024-01-29 14:18:08,12.06433,65.3011,10.69332,64.67863
74,2024-01-29 14:18:13,12.09883,65.3057,10.61983,65.0644
